No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
113,NGC 3311:[MMH2011] 108,10h36m51.5000s,-27d35m14.600s,159.21458333333,-27.58738888889,0.01482,4442.92422756,UUN,,Vis,4.03045090686254,2,0,2,2,2,0,0,0,0,0
114,2MASX J10362905-2729022,10h36m29.0608s,-27d29m02.547s,159.121087,-27.484041,0.015998,4796.079743084,UUN,G,"IR,UV",4.03763651287341,46,0,21,16,13,2,3,2,2,0
115,HCC 103,10h36m38.0000s,-27d35m39.800s,159.15833333333,-27.59438888889,0.0111810684710421,3352.00000000001,UUN,G,,4.08399350337566,4,0,2,3,1,0,0,0,0,0
116,NGC 3311:[MMH2011] 087,10h36m50.9000s,-27d35m28.400s,159.21208333333,-27.59122222222,0.011011,3301.014755038,UUN,,Vis,4.17371461328718,2,0,2,2,2,0,0,0,0,0
117,GALEXASC J103700.85-273254.9,10h37m00.8594s,-27d32m54.953s,159.253580893453,-27.5485982511564,0.010427,3125.935959566,UUN,G,UV,4.19867213270422,1,0,4,2,1,0,0,0,0,0
118,HCC 090,10h36m36.4000s,-27d35m41.100s,159.15166666667,-27.59475,0.0111810684710421,3352.00000000001,UUN,G,,4.20911289598832,4,0,2,3,1,0,0,0,0,0
119,WISEA J103700.22-272953.0,10h37m00.2263s,-27d29m53.029s,159.2509431,-27.4980636,0.010924,3274.932811192,UUN,G,IR,4.29387253910388,9,0,16,5,2,0,1,1,0,0
120,WISEA J103658.63-273426.9,10h36m58.6301s,-27d34m26.963s,159.2442921,-27.5741566,0.01655,4961.5651799,UUN,G,IR,4.46413281438557,5,0,14,4,2,0,0,0,0,0
121,HCC 047,10h36m33.8000s,-27d27m41.100s,159.14083333333,-27.46141666667,0.0111810684710421,3352.00000000001,UUN,G,,4.48832988823223,3,0,2,2,1,0,0,0,0,0
122,NGC 3311:[MMH2011] 063,10h36m43.8000s,-27d27m12.300s,159.1825,-27.45341666667,0.01396,4185.10271368,UUN,,Vis,4.51647356669879,2,0,2,2,2,0,0,0,0,0
123,NGC 3311:[MMH2011] HUCD 15,10h36m49.3000s,-27d36m01.900s,159.20541666667,-27.60052777778,0.012192,3655.069647936,UUN,,Vis,4.55704381707097,3,0,3,3,3,0,0,0,0,0
124,NGC 3311:[MMH2011] HUCD 45,10h36m50.2000s,-27d36m10.300s,159.20916666667,-27.60286111111,0.01407,4218.07988406,UUN,,Vis,4.75576081839133,3,0,3,3,3,0,0,0,0,0
125,HCC 077,10h36m21.3000s,-27d31m22.000s,159.08875,-27.52277777778,0.0111810684710421,3352.00000000001,UUN,G,,4.75938130863972,4,0,2,3,1,0,0,0,0,0
126,HCC 094,10h36m22.2000s,-27d33m08.500s,159.0925,-27.55236111111,0.0111810684710421,3352.00000000001,UUN,G,,4.76506104038919,4,0,2,3,1,0,0,0,0,0
127,HCC 089,10h36m57.3000s,-27d35m13.200s,159.23875,-27.587,0.0111810684710421,3352.00000000001,UUN,G,,4.76882112538815,4,0,2,3,1,0,0,0,0,0
128,NGC 3312,10h37m02.5115s,-27d33m53.928s,159.2604648,-27.5649802,0.00962700043,2886.10212207676,SUN,G,"IR,Radio,Xray",4.90244159187146,134,5,49,27,27,18,5,27,7,1
129,NGC 3311:[MMH2011] 093,10h36m41.9000s,-27d36m40.400s,159.17458333333,-27.61122222222,0.0138,4137.1359204,UUN,,Vis,4.9615815676781,2,0,2,2,2,0,0,0,0,0
130,HCC 052,10h36m55.4000s,-27d35m55.100s,159.23083333333,-27.59863888889,0.0111810684710421,3352.00000000001,UUN,G,,5.05743812796687,3,0,2,2,1,0,0,0,0,0
131,WISEA J103624.84-273453.9,10h36m24.8468s,-27d34m53.960s,159.1035284,-27.5816557,0.009276,2780.874840408,SUN,G,"IR,UV",5.08089410784306,32,0,33,14,12,2,1,1,2,0
132,HCC 072,10h36m48.3000s,-27d26m46.700s,159.20125,-27.44630555556,0.0111810684710421,3352.00000000001,UUN,G,,5.08995384264599,4,0,2,3,1,0,0,0,0,0
133,HCC 082,10h36m33.5000s,-27d26m59.500s,159.13958333333,-27.44986111111,0.0111810684710421,3352.00000000001,UUN,G,,5.14605246828396,4,0,2,3,1,0,0,0,0,0
134,HCC 061,10h36m29.3000s,-27d27m23.700s,159.12208333333,-27.45658333333,0.0111810684710421,3352.00000000001,UUN,G,,5.24466431656803,4,0,2,3,1,0,0,0,0,0
135,NGC 3311:[MMH2011] HUCD 48,10h36m40.6000s,-27d26m27.300s,159.16916666667,-27.44091666667,0.012842,3849.934745636,UUN,,Vis,5.28077544669671,3,0,2,3,3,0,0,0,0,0
136,NGC 3311:[MMH2011] HUCD 22,10h36m58.0000s,-27d35m58.900s,159.24166666667,-27.59969444444,0.010431,3127.135129398,UUN,,Vis,5.44859554579168,3,0,2,3,3,0,0,0,0,0
137,HCC 109,10h36m24.4000s,-27d35m30.700s,159.10166666667,-27.59186111111,0.0111810684710421,3352.00000000001,UUN,G,,5.55721081256274,3,0,2,2,1,0,0,0,0,0
138,WISEA J103626.00-273551.0,10h36m26.0000s,-27d35m51.600s,159.10833333333,-27.59766666667,0.0111810684710421,3352.00000000001,UUN,G,IR,5.55840796871522,4,0,14,4,1,0,0,0,0,0
139,HCDC 055,10h36m55.1100s,-27d26m46.500s,159.229625,-27.44625,0.0138130002,4141.03328231249,SUN,G,,5.65388016383653,2,0,0,2,1,0,0,0,0,0
140,NGC 3307,10h36m17.1671s,-27d31m46.950s,159.0715297,-27.5297085,0.012612,3780.982480296,SUN,G,"IR,UV,Vis,Xray",5.66310261728846,48,5,62,17,14,18,0,4,4,2
141,NGC 3311:[MMH2011] 104,10h36m32.6000s,-27d26m30.000s,159.13583333333,-27.44166666667,0.01399,4194.09648742,UUN,,Vis,5.67659988659458,2,0,2,2,2,0,0,0,0,0
142,HCC 074,10h36m24.0000s,-27d27m46.900s,159.1,-27.46302777778,0.0111810684710421,3352.00000000001,UUN,G,,5.71721640705476,4,0,2,3,1,0,0,0,0,0
143,HCC 079,10h36m26.6000s,-27d27m12.600s,159.11083333333,-27.4535,0.0111810684710421,3352.00000000001,UUN,G,,5.74973030305027,4,0,2,3,1,0,0,0,0,0
