ra,dec,name,color,radius
184.2887,12.4537,gal,red,5.0
184.2912,7.1915,gal,red,5.0
184.2946,6.4318,gal,red,5.0
184.2981,15.3236,gal,red,5.0
184.3108,8.9424,gal,red,5.0
184.3123,16.5313,gal,red,5.0
184.3319,11.9434,gal,red,5.0
184.3423,5.4289,gal,red,5.0
184.3575,6.69,gal,red,5.0
184.3606,13.7371,gal,red,5.0
184.3636,17.6505,gal,red,5.0
184.367,12.9323,gal,red,5.0
184.3706,8.5328,gal,red,5.0
184.3906,12.388,gal,red,5.0
184.3925,22.5405,gal,red,5.0
184.4218,5.6207,gal,red,5.0
184.4365,6.0826,gal,red,5.0
184.4416,6.1394,gal,red,5.0
184.4443,5.3767,gal,red,5.0
184.4472,4.4785,gal,red,5.0
184.4695,13.1767,gal,red,5.0
184.4709,5.0277,gal,red,5.0
184.4819,6.1127,gal,red,5.0
184.4975,5.5986,gal,red,5.0
184.5007,6.6537,gal,red,5.0
184.518,14.7532,gal,red,5.0
184.5204,7.7458,gal,red,5.0
184.5284,5.6845,gal,red,5.0
184.5311,5.9303,gal,red,5.0
184.5485,4.6446,gal,red,5.0
184.56,6.6038,gal,red,5.0
184.5638,13.7492,gal,red,5.0
184.5747,4.4026,gal,red,5.0
184.575,7.128,gal,red,5.0
184.5844,5.1168,gal,red,5.0
184.5858,4.8537,gal,red,5.0
184.6172,5.6156,gal,red,5.0
184.618,6.0761,gal,red,5.0
184.6188,6.4058,gal,red,5.0
184.6287,5.5595,gal,red,5.0
184.6321,5.85,gal,red,5.0
184.6326,13.1912,gal,red,5.0
184.6611,6.7081,gal,red,5.0
184.6662,13.5985,gal,red,5.0
184.6741,17.7185,gal,red,5.0
184.6758,5.6654,gal,red,5.0
184.6787,5.7889,gal,red,5.0
184.6832,12.3861,gal,red,5.0
184.6881,6.2631,gal,red,5.0
184.6962,1.3815,gal,red,5.0
184.707,14.4182,gal,red,5.0
184.7523,6.0946,gal,red,5.0
184.7633,8.8558,gal,red,5.0
184.7711,13.981,gal,red,5.0
184.7713,4.6602,gal,red,5.0
184.777,5.7259,gal,red,5.0
184.7814,7.6344,gal,red,5.0
184.7911,3.8552,gal,red,5.0
184.7968,12.8851,gal,red,5.0
184.8016,6.3816,gal,red,5.0
184.8019,12.8518,gal,red,5.0
184.8076,5.9867,gal,red,5.0
184.8092,13.8823,gal,red,5.0
184.815,6.2937,gal,red,5.0
184.8183,15.3962,gal,red,5.0
184.8213,5.5785,gal,red,5.0
184.8342,5.4668,gal,red,5.0
184.8361,6.7051,gal,red,5.0
184.8381,4.7733,gal,red,5.0
184.8423,5.9109,gal,red,5.0
184.8425,5.3764,gal,red,5.0
184.8434,6.0996,gal,red,5.0
184.8462,5.795,gal,red,5.0
184.847,5.8249,gal,red,5.0
184.8473,19.5873,gal,red,5.0
184.8492,6.2331,gal,red,5.0
184.8586,13.3103,gal,red,5.0
184.8654,4.5785,gal,red,5.0
184.8658,5.0475,gal,red,5.0
184.8688,6.273,gal,red,5.0
184.8695,17.2305,gal,red,5.0
184.899,5.8468,gal,red,5.0
184.9043,15.1621,gal,red,5.0
184.9139,7.1197,gal,red,5.0
184.9386,12.7982,gal,red,5.0
184.9389,6.006,gal,red,5.0
184.9467,5.2837,gal,red,5.0
184.9548,5.185,gal,red,5.0
184.9713,1.7733,gal,red,5.0
184.9738,6.0323,gal,red,5.0
184.9833,5.3424,gal,red,5.0
185.0137,14.9615,gal,red,5.0
185.0144,6.0105,gal,red,5.0
185.0155,5.3413,gal,red,5.0
185.0166,5.4147,gal,red,5.0
185.0308,7.6907,gal,red,5.0
185.0356,9.4678,gal,red,5.0
185.0479,1.9586,gal,red,5.0
185.0508,6.6232,gal,red,5.0
185.0579,5.0186,gal,red,5.0
185.0673,5.0392,gal,red,5.0
185.0724,4.2015,gal,red,5.0
185.0784,9.5454,gal,red,5.0
185.084,9.7971,gal,red,5.0
185.0912,12.1877,gal,red,5.0
185.0966,6.135,gal,red,5.0
185.0972,13.898,gal,red,5.0
185.1012,5.5729,gal,red,5.0
185.1055,6.9088,gal,red,5.0
185.1162,1.4683,gal,red,5.0
185.1288,6.64,gal,red,5.0
185.1413,0.7879,gal,red,5.0
185.146,5.8076,gal,red,5.0
185.1515,12.8848,gal,red,5.0
185.1611,5.9089,gal,red,5.0
185.1681,13.889,gal,red,5.0
185.183,14.6313,gal,red,5.0
185.2036,17.4872,gal,red,5.0
185.2036,5.9816,gal,red,5.0
185.2036,6.7236,gal,red,5.0
185.2129,7.0591,gal,red,5.0
185.2177,5.2322,gal,red,5.0
185.2274,3.4027,gal,red,5.0
185.2347,5.189,gal,red,5.0
185.2401,6.3399,gal,red,5.0
185.2507,12.726,gal,red,5.0
185.2653,7.0777,gal,red,5.0
185.27,11.7546,gal,red,5.0
185.275,11.5954,gal,red,5.0
185.2793,0.4613,gal,red,5.0
185.2976,17.6387,gal,red,5.0
185.3033,8.9633,gal,red,5.0
185.3061,18.3842,gal,red,5.0
185.3124,13.3465,gal,red,5.0
185.3139,5.3417,gal,red,5.0
185.3186,4.5958,gal,red,5.0
185.3242,11.5109,gal,red,5.0
185.3275,4.076,gal,red,5.0
185.33,16.6093,gal,red,5.0
185.3302,3.7877,gal,red,5.0
185.3438,5.9477,gal,red,5.0
185.3711,8.1511,gal,red,5.0
185.3778,12.6542,gal,red,5.0
185.388,14.6055,gal,red,5.0
185.3921,4.7794,gal,red,5.0
185.4041,5.7658,gal,red,5.0
185.4101,8.7766,gal,red,5.0
185.4115,15.7451,gal,red,5.0
185.4138,7.2539,gal,red,5.0
185.4149,4.3927,gal,red,5.0
