ra,dec,name,color,radius
184.3108,8.9424,,red,5.0
184.3123,16.5313,,red,5.0
184.3319,11.9434,,red,5.0
184.3423,5.4289,,red,5.0
184.3575,6.69,,red,5.0
184.3606,13.7371,,red,5.0
184.3636,17.6505,,red,5.0
184.367,12.9323,,red,5.0
184.3706,8.5328,,red,5.0
184.3906,12.388,,red,5.0
184.3925,22.5405,,red,5.0
184.4218,5.6207,,red,5.0
184.4365,6.0826,,red,5.0
184.4416,6.1394,,red,5.0
184.4443,5.3767,,red,5.0
184.4472,4.4785,,red,5.0
184.4695,13.1767,,red,5.0
184.4709,5.0277,,red,5.0
184.4819,6.1127,,red,5.0
184.4975,5.5986,,red,5.0
184.5007,6.6537,,red,5.0
184.518,14.7532,,red,5.0
184.5204,7.7458,,red,5.0
184.5284,5.6845,,red,5.0
184.5311,5.9303,,red,5.0
184.5485,4.6446,,red,5.0
184.56,6.6038,,red,5.0
184.5638,13.7492,,red,5.0
184.5747,4.4026,,red,5.0
184.575,7.128,,red,5.0
184.5844,5.1168,,red,5.0
184.5858,4.8537,,red,5.0
184.6172,5.6156,,red,5.0
184.618,6.0761,,red,5.0
184.6188,6.4058,,red,5.0
184.6287,5.5595,,red,5.0
184.6321,5.85,,red,5.0
184.6326,13.1912,,red,5.0
184.6611,6.7081,,red,5.0
184.6662,13.5985,,red,5.0
184.6741,17.7185,,red,5.0
184.6758,5.6654,,red,5.0
184.6787,5.7889,,red,5.0
184.6832,12.3861,,red,5.0
184.6881,6.2631,,red,5.0
184.6962,1.3815,,red,5.0
184.707,14.4182,,red,5.0
184.7523,6.0946,,red,5.0
184.7633,8.8558,,red,5.0
184.7711,13.981,,red,5.0
184.7713,4.6602,,red,5.0
184.777,5.7259,,red,5.0
184.7814,7.6344,,red,5.0
184.7911,3.8552,,red,5.0
184.7968,12.8851,,red,5.0
184.8016,6.3816,,red,5.0
184.8019,12.8518,,red,5.0
184.8076,5.9867,,red,5.0
184.8092,13.8823,,red,5.0
184.815,6.2937,,red,5.0
184.8183,15.3962,,red,5.0
184.8213,5.5785,,red,5.0
