updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2021-06-13T12:35:47.872343+0000,9daf352337ec77ec7b92319f22a56220,63855360,/data_local/images/DTS/2013B-0613/DECam_00257798.fits.fz,/net/archive/pipe/20131123/ct4m/2013B-0613/c4d_131124_054338_ose_i_NGFS.fits.fz,1.07,"{'gte': 52.862583333333326, 'lte': 52.862583333333326}","{'gte': -36.68975, 'lte': -36.68975}",52.862583333333326,-36.68975,i DECam SDSS c0003 7835.0 1470.0,None,,6000.0,0,2013-11-24,2013-11-24T05:37:44.172048+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 4-1,stacked,expmap,,2013-11-23,[None]
2020-11-19T10:31:36.420304+0000,9e466fc19a1a5142446cd5a27a8f9479,25436160,/data_local/images/DTS/2013B-0613/DECam_00258036.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131127_051223_ose_i_v1.fits.fz,1.04,"{'gte': 54.95804166666666, 'lte': 54.95804166666666}","{'gte': -37.35180555555556, 'lte': -37.35180555555556}",54.95804166666666,-37.35180555555556,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-27,2013-11-27T05:06:29.002739+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 5-2,stacked,expmap,,2013-11-26,[None]
2020-11-18T18:33:53.456603+0000,91b59173c4f32a3b38f30dfed8cd07f1,12447360,/data_local/images/DTS/2013B-0613/DECam_00257843.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_021007_ose_g_v1.fits.fz,1.12,"{'gte': 56.62545833333333, 'lte': 56.62545833333333}","{'gte': -36.19597222222222, 'lte': -36.19597222222222}",56.62545833333333,-36.19597222222222,g DECam SDSS c0001 4720.0 1520.0,None,,270.0,0,2013-11-25,2013-11-25T02:08:47.006527+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 6-2 hexa,stacked,expmap,,2013-11-24,[None]
2021-06-02T10:19:57.613864+0000,915d9805cfcc4a77a357db51286c6c55,1005120,/data_local/images/DTS/2013B-0613/DECam_00257831.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_012139_osd_g_NGFS.fits.fz,1.19,"{'gte': 51.113833333333325, 'lte': 51.113833333333325}","{'gte': -37.84491666666667, 'lte': -37.84491666666667}",51.113833333333325,-37.84491666666667,g DECam SDSS c0001 4720.0 1520.0,None,,3300.0,0,2013-11-25,2013-11-25T01:15:47.121222+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 13-1,stacked,dqmask,,2013-11-24,[None]
2021-06-02T07:04:43.578220+0000,b7e8df427a38bbf7dcb5a35dcdeec26c,388658880,/data_local/images/DTS/2013B-0613/DECam_00257837.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_014608_osj_g_NGFS.fits.fz,1.16,"{'gte': 54.54970833333333, 'lte': 54.54970833333333}","{'gte': -35.53586111111111, 'lte': -35.53586111111111}",54.54970833333333,-35.53586111111111,g DECam SDSS c0001 4720.0 1520.0,None,,2700.0,0,2013-11-25,2013-11-25T01:40:15.817467+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 1-2,stacked,image1,,2013-11-24,[None]
2021-06-13T12:36:55.577247+0000,abb1bda0ebc452ffcd9f31a853490abe,37990080,/data_local/images/DTS/2013B-0613/DECam_00258036.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_051223_ose_i_NGFS.fits.fz,1.04,"{'gte': 54.95737499999999, 'lte': 54.95737499999999}","{'gte': -37.34875, 'lte': -37.34875}",54.95737499999999,-37.34875,i DECam SDSS c0003 7835.0 1470.0,None,,3900.0,0,2013-11-27,2013-11-27T05:06:29.002739+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 5-2,stacked,expmap,,2013-11-26,[None]
2021-06-13T12:37:36.348626+0000,b66ac94a3213ef74929d8b510da6efa4,285145920,/data_local/images/DTS/2013B-0613/DECam_00258041.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_053058_osw_i_NGFS.fits.fz,1.07,"{'gte': 52.11579166666667, 'lte': 52.11579166666667}","{'gte': -33.06827777777778, 'lte': -33.06827777777778}",52.11579166666667,-33.06827777777778,i DECam SDSS c0003 7835.0 1470.0,None,,3600.0,0,2013-11-27,2013-11-27T05:25:05.085103+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 10-2,stacked,wtmap,,2013-11-26,[None]
2020-11-18T18:34:42.700756+0000,c864135a42cb63c08b993f328b37b685,386979840,/data_local/images/DTS/2013B-0613/DECam_00258027.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131127_044023_osi_i_v1.fits.fz,1.01,"{'gte': 56.62329166666666, 'lte': 56.62329166666666}","{'gte': -36.19886111111111, 'lte': -36.19886111111111}",56.62329166666666,-36.19886111111111,i DECam SDSS c0003 7835.0 1470.0,None,,270.0,0,2013-11-27,2013-11-27T04:39:01.549745+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 6-1 hexa,stacked,image,,2013-11-26,[None]
2021-06-27T17:39:38.660656+0000,b7a81bcf6098ea62be140be9ec4d7f56,387443520,/data_local/images/DTS/2013B-0613/DECam_00257807.fits.fz,/net/archive/pipe/20131123/ct4m/2013B-0613/c4d_131124_061517_osj_i_NGFS.fits.fz,1.15,"{'gte': 51.10987499999999, 'lte': 51.10987499999999}","{'gte': -37.846833333333336, 'lte': -37.846833333333336}",51.10987499999999,-37.846833333333336,i DECam SDSS c0003 7835.0 1470.0,None,,340.0,0,2013-11-24,2013-11-24T06:13:55.646062+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,Fornax 13-1,stacked,image1,,2013-11-23,[None]
2020-11-18T18:33:53.443320+0000,c906c6dc232c62104cd0c5f8150db53d,161876160,/data_local/images/DTS/2013B-0613/DECam_00257836.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_014037_osw_g_v1.fits.fz,1.17,"{'gte': 54.54954166666666, 'lte': 54.54954166666666}","{'gte': -35.53491666666667, 'lte': -35.53491666666667}",54.54954166666666,-35.53491666666667,g DECam SDSS c0001 4720.0 1520.0,None,,270.0,0,2013-11-25,2013-11-25T01:39:15.530480+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 1-2 hexa,stacked,wtmap,,2013-11-24,[None]
